step,avg_return,run
10000,2.1000001430511475,0
20000,2.250000238418579,0
30000,1.9000002145767212,0
40000,1.7000000476837158,0
50000,1.7999999523162842,0
60000,2.750000238418579,0
70000,3.000000238418579,0
80000,2.8000001907348633,0
90000,2.700000286102295,0
100000,2.9000000953674316,0
10000,1.8500001430511475,1
10000,1.5500001907348633,1
20000,2.1000001430511475,1
30000,1.649999976158142,1
40000,2.250000238418579,1
50000,2.950000286102295,1
60000,3.450000047683716,1
70000,2.4000000953674316,1
80000,2.8500001430511475,1
90000,2.450000286102295,1
100000,2.6000001430511475,1
